MAG,MG,Coverage
MAG00429,MG_0580RFLQV1,24.342457
MAG00430,MG_0580RFLQV1,55.8718
MAG00431,MG_0600RFLQV1,175.75627
MAG00432,MG_0602RFLQV1,51.291885
MAG00433,MG_0602RFLQV1,543.1793
MAG00434,MG_0616RFLQV1,29.780594
MAG00435,MG_0616RFLQV1,339.1653
MAG00436,MG_0616RFLQV1,500.5191
MAG00437,MG_0616RFLQV1,89.214935
MAG00438,MG_0616RFLQV1,4649.1455
MAG00439,MG_0616RFLQV1,679.9305
MAG00440,MG_0616RFLQV1,120.19057
MAG00441,MG_0620RFLQV1,23.624454
MAG00442,MG_0620RFLQV1,100.12438
MAG00443,MG_0620RFLQV1,516.28674
MAG00444,MG_0620RFLQV1,21.75018
MAG00445,MG_0620RFLQV1,27.150532
MAG00446,MG_0620RFLQV1,17.633533
MAG00447,MG_0624RFLQV1,31.917547
MAG00448,MG_0624RFLQV1,350.3406
MAG00449,MG_0624RFLQV1,1325.7047
MAG00450,MG_0624RFLQV1,73.07145
MAG00451,MG_0624RFLQV1,239.36983
MAG00452,MG_0624RFLQV1,7.7739635
MAG00453,MG_0626RFLQV1,55.041336
MAG00454,MG_0626RFLQV1,244.68822
MAG00455,MG_0626RFLQV1,294.3605
MAG00456,MG_0631RFLQV1,312.5829
MAG00457,MG_0631RFLQV1,247.60947
MAG00461,MG_0632RFLQV1,1213.6997
MAG00463,MG_0633RFLQV1,345.80258
MAG00464,MG_0633RFLQV1,166.1484
MAG00467,MG_0634RFLQV1,164.3654
MAG00468,MG_0634RFLQV1,15.478682
MAG00469,MG_0635RFLQV1,250.27551
MAG00470,MG_0635RFLQV1,38.51919
MAG00471,MG_0635RFLQV1,54.719337
MAG00473,MG_0635RFLQV1,8.178877
MAG00474,MG_0635RFLQV1,9.375941
MAG00475,MG_0635RFLQV1,8.2456455
MAG00476,MG_0635RFLQV1,15.262756
MAG00477,MG_0635RFLQV1,142.67708
MAG00478,MG_0635RFLQV1,342.8785
MAG00479,MG_0635RFLQV1,13.189121
MAG00481,MG_0635RFLQV1,29.817137
MAG00482,MG_0635RFLQV1,9.205399
MAG00483,MG_0635RFLQV1,46.64244
MAG00484,MG_0635RFLQV1,53.48316
MAG00485,MG_0635RFLQV1,21.618607
MAG00486,MG_0635RFLQV1,955.3497
MAG00487,MG_0635RFLQV1,5069.9023
MAG00488,MG_0635RFLQV1,75.1287
MAG00489,MG_0635RFLQV1,431.83545
MAG00490,MG_0635RFLQV1,23.584486
MAG00491,MG_0635RFLQV1,919.7404
MAG00492,MG_0635RFLQV1,14.526458
MAG00493,MG_0635RFLQV1,16.462605
MAG00494,MG_0635RFLQV1,15.725953
MAG00495,MG_0635RFLQV1,10.082532
MAG00496,MG_0635RFLQV1,10.011996
MAG00497,MG_0639RFLQV1,214.81998
MAG00500,MG_0644RFLQV1,248.02504
MAG00502,MG_0645RFLQV1,59.422585
MAG00503,MG_0645RFLQV1,162.07631
MAG00504,MG_0648RFLQV1,29.445143
MAG00505,MG_0648RFLQV1,215.38286
MAG00506,MG_0648RFLQV1,27.76396
MAG00507,MG_0648RFLQV1,274.36807
MAG00508,MG_0650RFLQV1,166.37715
MAG00509,MG_0650RFLQV1,1650.694
MAG00510,MG_0650RFLQV1,1604.5182
MAG00511,MG_0653RFLQV1,936.5707
MAG00512,MG_0653RFLQV1,75.22333
MAG00513,MG_0653RFLQV1,12.123111
MAG00514,MG_0653RFLQV1,94.961075
MAG00515,MG_0653RFLQV1,299.3505
MAG00516,MG_0653RFLQV1,801.0427
MAG00517,MG_0653RFLQV1,432.2845
